Title;Price;Stock;Category;Cover;UPC;Product Type;Price (excl. tax);Price (incl. tax);Tax;Availability;Number of reviews
A Light in the Attic;51.77;22;Poetry;http://books.toscrape.com/media/cache/fe/72/fe72f0532301ec28892ae79a629a293c.jpg;a897fe39b1053632;Books;51.77;51.77;0.00;In stock (22 available);0
Tipping the Velvet;53.74;20;Historical Fiction;http://books.toscrape.com/media/cache/08/e9/08e94f3731d7d6b760dfbfbc02ca5c62.jpg;90fa61229261140a;Books;53.74;53.74;0.00;In stock (20 available);0
Soumission;50.10;20;Fiction;http://books.toscrape.com/media/cache/ee/cf/eecfe998905e455df12064dba399c075.jpg;6957f44c3847a760;Books;50.10;50.10;0.00;In stock (20 available);0
Sharp Objects;47.82;20;Mystery;http://books.toscrape.com/media/cache/c0/59/c05972805aa7201171b8fc71a5b00292.jpg;e00eb4fd7b871a48;Books;47.82;47.82;0.00;In stock (20 available);0
Sapiens: A Brief History of Humankind;54.23;20;History;http://books.toscrape.com/media/cache/ce/5f/ce5f052c65cc963cf4422be096e915c9.jpg;4165285e1663650f;Books;54.23;54.23;0.00;In stock (20 available);0
The Requiem Red;22.65;19;Young Adult;http://books.toscrape.com/media/cache/6b/07/6b07b77236b7c80f42bd90bf325e69f6.jpg;f77dbf2323deb740;Books;22.65;22.65;0.00;In stock (19 available);0
The Dirty Little Secrets of Getting Your Dream Job;33.34;19;Business;http://books.toscrape.com/media/cache/e1/1b/e11bea016d0ae1d7e2dd46fb3cb870b7.jpg;2597b5a345f45e1b;Books;33.34;33.34;0.00;In stock (19 available);0
The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull;17.93;19;Default;http://books.toscrape.com/media/cache/97/36/9736132a43b8e6e3989932218ef309ed.jpg;e72a5dfc7e9267b2;Books;17.93;17.93;0.00;In stock (19 available);0
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics;22.60;19;Default;http://books.toscrape.com/media/cache/d1/2d/d12d26739b5369a6b5b3024e4d08f907.jpg;e10e1e165dc8be4a;Books;22.60;22.60;0.00;In stock (19 available);0
The Black Maria;52.15;19;Poetry;http://books.toscrape.com/media/cache/d1/7a/d17a3e313e52e1be5651719e4fba1d16.jpg;1dfe412b8ac00530;Books;52.15;52.15;0.00;In stock (19 available);0
Starving Hearts (Triangular Trade Trilogy, #1);13.99;19;Default;http://books.toscrape.com/media/cache/a0/7e/a07ed8f1c23f7b4baf7102722680bd30.jpg;0312262ecafa5a40;Books;13.99;13.99;0.00;In stock (19 available);0
Shakespeare's Sonnets;20.66;19;Poetry;http://books.toscrape.com/media/cache/4d/7a/4d7a79a8be80a529b277ed5c4d8ba482.jpg;30a7f60cd76ca58c;Books;20.66;20.66;0.00;In stock (19 available);0
Set Me Free;17.46;19;Young Adult;http://books.toscrape.com/media/cache/b8/e9/b8e91bd2fc74c3954118999238abb4b8.jpg;ce6396b0f23f6ecc;Books;17.46;17.46;0.00;In stock (19 available);0
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1);52.29;19;Sequential Art;http://books.toscrape.com/media/cache/97/27/97275841c81e66d53bf9313cba06f23e.jpg;3b1c02bac2a429e6;Books;52.29;52.29;0.00;In stock (19 available);0
Rip it Up and Start Again;35.02;19;Music;http://books.toscrape.com/media/cache/81/7f/817f5089c0e6e62738dce2931e7323d3.jpg;a34ba96d4081e6a4;Books;35.02;35.02;0.00;In stock (19 available);0
Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991;57.25;19;Music;http://books.toscrape.com/media/cache/ad/96/ad96e9c9f1664cbcb0e9627b007fb6f9.jpg;deda3e61b9514b83;Books;57.25;57.25;0.00;In stock (19 available);0
Olio;23.88;19;Poetry;http://books.toscrape.com/media/cache/b1/0e/b10eabab1e1c811a6d47969904fd5755.jpg;feb7cc7701ecf901;Books;23.88;23.88;0.00;In stock (19 available);0
Mesaerion: The Best Science Fiction Stories 1800-1849;37.59;19;Science Fiction;http://books.toscrape.com/media/cache/e8/1f/e81f850db9b9622c65619c9f15748de7.jpg;e30f54cea9b38190;Books;37.59;37.59;0.00;In stock (19 available);0
Libertarianism for Beginners;51.33;19;Politics;http://books.toscrape.com/media/cache/91/a4/91a46253e165d144ef5938f2d456b88f.jpg;a18a4f574854aced;Books;51.33;51.33;0.00;In stock (19 available);0
